Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,dpgm,GLC,0.2,flux,SS,FUM,FUM,2.601,85,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,G6PDH2r,G6PDH2r,0.6426,21,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,GAPD,GAPD,5.2938,173,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,GLCptspp,GLCptspp_ex,3.06,100,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,GND,GND,0.6426,21,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,ICDHyr,ICDHyr,2.5092,82,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,ICL,ICL,0.3366,11,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,LDH_D,LDH_D,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,MALS,MALS,0.3366,11,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,MDH,MDH,2.9376,96,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,ME1,ME1,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PDH,PDH,3.978,130,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PFKA,PFKA,2.6316,86,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PGI,PGI,2.3868,78,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PGM,PGM,5.0184,164,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PPC,PPC,0.306,10,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PTAr,PTAr,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PYKF,PYKF,1.53,50,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,RPE,RPE,0.2448,8,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,RPI,RPI,0.3672,12,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,SUCDi,SUCDi,2.601,85,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,TALA,TALA,0.1836,6,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,TKT1,TKT1,0.1836,6,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,TKT2,TKT2,0.0918,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,TPI,TPI,2.6316,86,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EDA,EDA,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_E4P(e),EX_E4P(e),0.0918,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_OAA(e),EX_OAA(e),0.3978,13,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_ACCOA(e),EX_ACCOA(e),0.8262,27,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,PGMT,PGMT,0.0306,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,R5PP,R5PP,0.1836,6,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_3PG(e),EX_3PG(e),0.306,10,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_F6P(e),EX_F6P(e),0.0306,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_G3P(e),EX_G3P(e),0.0306,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,EX_PEP(e),EX_PEP(e),0.1224,4,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,UP_FOR,UP_FOR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,UP_PYR,UP_PYR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgm,GLC,0.2,flux,SS,UP_AC,UP_AC,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,ACALD,ACALD,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,ACONTa,ACONTa,1.8291,67,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,AKGDH,AKGDH,0.9009,33,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,CS,CS,1.8291,67,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_akg(e),EX_akg(e),0.2457,9,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_co2(e),EX_co2(e),7.0707,259,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_pyr(e),EX_pyr(e),0.6006,22,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,FBA,FBA,0.9282,34,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,FUM,FUM,1.5834,58,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,G6PDH2r,G6PDH2r,2.6754,98,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,GAPD,GAPD,3.276,120,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,GLCptspp,GLCptspp_ex,2.73,100,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,GND,GND,1.6653,61,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,ICDHyr,ICDHyr,1.1193,41,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,ICL,ICL,0.6825,25,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,LDH_D,LDH_D,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,MALS,MALS,0.6825,25,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,MDH,MDH,2.2113,81,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,ME1,ME1,0.0546,2,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PDH,PDH,3.3306,122,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PFKA,PFKA,0.9282,34,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PGI,PGI,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PGM,PGM,2.9757,109,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PPC,PPC,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PTAr,PTAr,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PYKF,PYKF,0.1365,5,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,RPE,RPE,0.9555,35,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,RPI,RPI,0.7098,26,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,SUCDi,SUCDi,1.5834,58,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,TALA,TALA,0.5187,19,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,TKT1,TKT1,0.5187,19,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,TKT2,TKT2,0.4368,16,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,TPI,TPI,0.9282,34,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EDA,EDA,1.0101,37,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_E4P(e),EX_E4P(e),0.0819,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_OAA(e),EX_OAA(e),0.4095,15,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_ACCOA(e),EX_ACCOA(e),0.819,30,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,PGMT,PGMT,0.0546,2,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,R5PP,R5PP,0.1911,7,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_3PG(e),EX_3PG(e),0.3003,11,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_F6P(e),EX_F6P(e),0.0273,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_G3P(e),EX_G3P(e),0.0273,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,EX_PEP(e),EX_PEP(e),0.1092,4,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,UP_FOR,UP_FOR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,UP_PYR,UP_PYR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpgi,GLC,0.2,flux,SS,UP_AC,UP_AC,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,ACALD,ACALD,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,ACONTa,ACONTa,2.2304,82,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,AKGDH,AKGDH,1.7408,64,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,CS,CS,2.2304,82,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_akg(e),EX_akg(e),0.2448,9,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_co2(e),EX_co2(e),6.9632,256,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_pyr(e),EX_pyr(e),0.6256,23,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,FBA,FBA,2.3664,87,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,FUM,FUM,1.9856,73,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,G6PDH2r,G6PDH2r,0.3808,14,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,GAPD,GAPD,4.7056,173,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,GLCptspp,GLCptspp_ex,2.72,100,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,GND,GND,0.3808,14,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,ICDHyr,ICDHyr,1.9856,73,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,ICL,ICL,0.2176,8,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,LDH_D,LDH_D,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,MALS,MALS,0.2176,8,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,MDH,MDH,2.2032,81,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,ME1,ME1,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PDH,PDH,3.264,120,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PFKA,PFKA,2.3664,87,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PGI,PGI,2.2848,84,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PGM,PGM,4.4064,162,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PPC,PPC,0.408,15,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PTAr,PTAr,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PYKF,PYKF,1.1696,43,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,RPE,RPE,0.0816,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,RPI,RPI,0.2992,11,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,SUCDi,SUCDi,1.9856,73,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,TALA,TALA,0.0816,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,TKT1,TKT1,0.0816,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,TKT2,TKT2,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,TPI,TPI,2.3664,87,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EDA,EDA,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_E4P(e),EX_E4P(e),0.0816,3,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_OAA(e),EX_OAA(e),0.408,15,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_ACCOA(e),EX_ACCOA(e),0.816,30,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,PGMT,PGMT,0.0544,2,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,R5PP,R5PP,0.1904,7,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_3PG(e),EX_3PG(e),0.2992,11,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_F6P(e),EX_F6P(e),0.0272,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_G3P(e),EX_G3P(e),0.0272,1,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,EX_PEP(e),EX_PEP(e),0.1088,4,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,UP_FOR,UP_FOR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,UP_PYR,UP_PYR,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkA,GLC,0.2,flux,SS,UP_AC,UP_AC,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,ACALD,ACALD,0,0,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,ACONTa,ACONTa,2.1584,76,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,AKGDH,AKGDH,1.2212,43,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,CS,CS,2.1584,76,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,EX_akg(e),EX_akg(e),0.2556,9,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,EX_co2(e),EX_co2(e),7.7532,273,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,EX_pyr(e),EX_pyr(e),0.6248,22,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,FBA,FBA,2.1868,77,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,FUM,FUM,1.9312,68,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,G6PDH2r,G6PDH2r,1.3348,47,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,GAPD,GAPD,4.6292,163,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
BW25113,dpfkB,GLC,0.2,flux,SS,GLCptspp,GLCptspp_ex,2.84,100,mmol/h/gDW,% of glc uptake,NA,NA,"(Ishii, 2007)"
