Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,WT,GLC,0.2,flux,SS,SUCOAS,SUCOAS,2.32,2.32,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,SUCOAS,SUCOAS,2.58,2.58,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,SUCOAS,SUCOAS,2.43,2.43,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,SUCOAS,SUCOAS,2.79,2.79,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,SUCDi,SUCDi,2.69,2.69,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,SUCDi,SUCDi,2.58,2.58,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,SUCDi,SUCDi,2.43,2.43,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,SUCDi,SUCDi,2.79,2.79,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,FUM,FUM,2.69,2.69,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,FUM,FUM,2.58,2.58,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,FUM,FUM,2.43,2.43,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,FUM,FUM,2.79,2.79,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ME1,ME1,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ME1,ME1,0.01,0.01,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ME1,ME1,0.2,0.2,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ME1,ME1,0.22,0.22,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,ICL,ICL,0.37,0.37,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,ICL,ICL,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,ICL,ICL,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,ICL,ICL,0,0,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,MDH,MDH,3.06,3.06,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,MDH,MDH,2.57,2.57,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,MDH,MDH,2.23,2.23,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,MDH,MDH,2.56,2.56,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,NADTRHD,NADTRHD,0.4,0.4,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,NADTRHD,NADTRHD,2.42,2.42,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,NADTRHD,NADTRHD,5.47,5.47,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,NADTRHD,NADTRHD,6.7,6.7,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,G6PDH2r,G6PDH2r,0.31,0.31,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,G6PDH2r,G6PDH2r,0.82,0.82,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,G6PDH2r,G6PDH2r,0.88,0.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,G6PDH2r,G6PDH2r,1.06,1.06,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,GND,GND,0.31,0.31,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,GND,GND,0.82,0.82,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,GND,GND,0.88,0.88,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,GND,GND,1.06,1.06,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,RPE,RPE,0.09,0.09,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,RPE,RPE,0.33,0.33,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,RPE,RPE,0.26,0.26,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,RPE,RPE,0.3,0.3,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,RPI,RPI,0.22,0.22,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,RPI,RPI,0.5,0.5,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,RPI,RPI,0.62,0.62,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,RPI,RPI,0.73,0.73,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,TKT1,TKT1,0.09,0.09,mmol/h/gDW,mmol/g/h,0.95,0.95,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,TKT1,TKT1,0.25,0.25,mmol/h/gDW,mmol/g/h,0.52,0.52,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,TKT1,TKT1,0.26,0.26,mmol/h/gDW,mmol/g/h,0.12,0.12,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,TKT1,TKT1,0.3,0.3,mmol/h/gDW,mmol/g/h,0.07,0.07,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,TKT2,TKT2,0.002,0.002,mmol/h/gDW,mmol/g/h,0.15,0.15,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,TKT2,TKT2,0.07,0.07,mmol/h/gDW,mmol/g/h,0.95,0.95,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,TKT2,TKT2,0,0,mmol/h/gDW,mmol/g/h,0.01,0.01,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,TKT2,TKT2,0,0,mmol/h/gDW,mmol/g/h,0.02,0.02,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,TALA,TALA,0.09,0.09,mmol/h/gDW,mmol/g/h,0.02,0.02,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,TALA,TALA,0.25,0.25,mmol/h/gDW,mmol/g/h,0.08,0.08,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,TALA,TALA,0.26,0.26,mmol/h/gDW,mmol/g/h,0.01,0.01,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,TALA,TALA,0.3,0.3,mmol/h/gDW,mmol/g/h,0.05,0.05,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PGCD,PGCD,0.17,0.17,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PGCD,PGCD,0.34,0.34,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PGCD,PGCD,0.5,0.5,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PGCD,PGCD,0.59,0.59,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,GHMT2r,GHMT2r,0.12,0.12,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,GHMT2r,GHMT2r,0.23,0.23,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,GHMT2r,GHMT2r,0.34,0.34,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,GHMT2r,GHMT2r,0.4,0.4,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
