,BiGG_ID,sample_id,author,flux,normalized_flux,relative_error
3178,RPE,talA,Khodayari,7.673764616975177,7.674012500986897,60.90702224404517
3179,RPE,talA,Kurata,334.2238843898801,25.917525434967743,88.42482085132856
3180,RPE,talA,iML1515,0.3315610823846035,11.5930448386225,74.1224152777756
3181,RPE,talB,Ishii,0.0882,3.0,0.0
3182,RPE,talB,Kurata,334.2238843898801,25.917525434967743,88.42482085132856
3183,RPE,tktA,ECC2,-0.07245650000000001,-2.5334440559440563,178.9439180749829
3184,RPE,tktA,Ec_core,-0.06859,-2.3815972222222217,183.9772561597901
3185,RPE,tktA,Exp_ECC2,-0.07491774410948958,-2.6195015422898456,176.35040360585904
3186,RPE,tktA,Exp_iML1515,-0.07245497999999917,-2.5333909090908797,178.94557420345802
3187,RPE,tktA,Ishii,0.0898,2.0,0.0
3188,RPE,tktA,Khodayari,7.023987744830492,7.022382851248169,71.51963881256465
3189,RPE,tktA,Kurata,328.7719539438266,25.402500724650377,92.12675940184418
3190,RPE,tktA,iML1515,-0.07245498000000004,-2.5201353923426097,179.3608155370131
3191,RPE,tktB,ECC2,-0.07245650000000001,-2.5334440559440563,218.41587711247436
3192,RPE,tktB,Ec_core,-0.06859,-2.3815972222222217,225.96588423968512
3193,RPE,tktB,Exp_ECC2,-0.07491774410948958,-2.6195015422898456,214.5256054087886
3194,RPE,tktB,Exp_iML1515,-0.07245497999999917,-2.5333909090908797,218.418361305187
3195,RPE,tktB,Ishii,0.0891,3.0,0.0
3196,RPE,tktB,Khodayari,7.023987744830492,7.022382851248169,57.27945821884697
3197,RPE,tktB,Kurata,328.7719539438266,25.402500724650377,88.19013910276627
3198,RPE,tktB,iML1515,-0.07245498000000004,-2.5201353923426097,219.04122330551968
3199,RPE,zwf,ECC2,-0.14749814,-5.157277622377623,196.9503751030352
3200,RPE,zwf,Ec_core,-0.13657200000000005,-4.742083333333333,205.4388893770319
3201,RPE,zwf,Exp_ECC2,-0.15186011600232555,-5.30979426581558,194.16560698387065
3202,RPE,zwf,Exp_iML1515,-0.13915282158708847,-4.844485345800977,203.21013777725256
3203,RPE,zwf,Ishii,0.159,5.0,0.0
3204,RPE,zwf,Khodayari,-0.015622996709630854,-0.35247218037895733,1000.0
3205,RPE,zwf,Kurata,-14.789399586654842,-1.140234886349344,538.5061411345123
3206,RPE,zwf,Millard,-0.0244161250119136,-6.1040312529775695,181.91307994304552
3207,RPE,zwf,iML1515,-0.1388023583024714,-4.831400044883575,203.48967076934503
3208,RPI,WT,ECC2,-0.3356613880000001,-11.73641216783217,193.7254063908
3209,RPI,WT,Ec_core,-0.4785613555555554,-16.732914529914524,165.73869710703764
3210,RPI,WT,Exp_ECC2,-0.2638887855569085,-9.561187882496684,215.04846610259895
3211,RPI,WT,Exp_iML1515,-0.3257209799999616,-11.422313316573645,196.30273391327066
3212,RPI,WT,Ishii,0.3146,11.0,0.0
3213,RPI,WT,Khodayari,-12.509201562763998,-11.388258478655162,196.59071244841456
3214,RPI,WT,Kurata,200.7267092316389,15.570924090350283,29.35550943429881
3215,RPI,WT,Millard,0.03765827518800394,9.414568796999703,16.840189255460675
3216,RPI,WT,iML1515,-0.379343391192309,-13.263754936794026,182.93277471137296
3217,RPI,fbaB,ECC2,-0.33566138800000017,-11.736412167832176,219.28688086101812
3218,RPI,fbaB,Ec_core,-2.8075790000000005,-98.16709790209794,114.26139745310817
3219,RPI,fbaB,Exp_ECC2,-0.25539960707379594,-8.930056191391467,256.77392952460855
3220,RPI,fbaB,Exp_iML1515,-0.3257209799999889,-11.388845454545068,222.92729808193923
3221,RPI,fbaB,Ishii,0.3864,14.0,0.0
3222,RPI,fbaB,Khodayari,-12.256589881885132,-12.23642649037522,214.41248808230046
3223,RPI,fbaB,Kurata,200.72212266304388,15.571135405665236,10.090050370338513
3224,RPI,fbaB,Millard,8.415968648822294e-07,0.0843717646828584,1000.0
3225,RPI,fbaB,iML1515,-0.37934339119230176,-13.263754936793768,205.5508041781131
3226,RPI,fbp,ECC2,-0.33566138800000045,-11.736412167832187,193.72540639079986
3227,RPI,fbp,Ec_core,-0.4785613555555559,-16.732914529914538,165.73869710703758
3228,RPI,fbp,Exp_ECC2,-0.2638887855569092,-9.226880613877944,219.21688878747548
3229,RPI,fbp,Exp_iML1515,-0.32572097999990746,-11.388845454542219,196.58573420726213
3230,RPI,fbp,Ishii,0.297,11.0,0.0
3231,RPI,fbp,Khodayari,-12.378692061619262,-11.295620669662918,197.38287360820394
3232,RPI,fbp,Kurata,200.72341223555495,15.570812179558608,29.35500169708025
